timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,IdleTime,Connect
1532548030805,12,pur,200,,loadTest 2-265,text,true,,3142,133,1,1,,12,0,0
1532548030825,12,pur,200,,loadTest 2-266,text,true,,3142,133,1,1,,12,0,0
1532548030845,12,pur,200,,loadTest 2-267,text,true,,3142,133,1,1,,12,0,0
1532548030865,12,pur,200,,loadTest 2-268,text,true,,3142,133,1,1,,12,0,0
1532548030885,12,pur,200,,loadTest 2-269,text,true,,3142,133,1,1,,12,0,0
1532548030905,12,pur,200,,loadTest 2-270,text,true,,3142,133,1,1,,12,0,0
1532548030925,12,pur,200,,loadTest 2-271,text,true,,3142,133,1,1,,12,0,0
1532548030945,12,pur,200,,loadTest 2-272,text,true,,3142,133,1,1,,12,0,0
1532548030965,12,pur,200,,loadTest 2-273,text,true,,3142,133,1,1,,12,0,0
1532548030985,12,pur,200,,loadTest 2-274,text,true,,3142,133,1,1,,12,0,0
1532548031005,12,pur,200,,loadTest 2-275,text,true,,3142,133,1,1,,12,0,0
1532548031025,12,pur,200,,loadTest 2-276,text,true,,3142,133,1,1,,12,0,0
1532548031045,12,pur,200,,loadTest 2-277,text,true,,3142,133,1,1,,12,0,0
1532548031065,12,pur,200,,loadTest 2-278,text,true,,3142,133,1,1,,12,0,0
1532548031085,12,pur,200,,loadTest 2-279,text,true,,3142,133,1,1,,12,0,0
1532548031105,12,pur,200,,loadTest 2-280,text,true,,3142,133,1,1,,12,0,0
1532548031125,12,pur,200,,loadTest 2-281,text,true,,3142,133,1,1,,12,0,0
1532548031145,12,pur,200,,loadTest 2-282,text,true,,3142,133,1,1,,12,0,0
1532548031165,12,pur,200,,loadTest 2-283,text,true,,3142,133,1,1,,12,0,0
1532548031185,12,pur,200,,loadTest 2-284,text,true,,3142,133,1,1,,12,0,0
1532548031205,12,pur,200,,loadTest 2-285,text,true,,3142,133,1,1,,12,0,0
1532548031225,13,pur,200,,loadTest 2-286,text,true,,3142,133,1,1,,13,0,0
1532548031245,13,pur,200,,loadTest 2-287,text,true,,3142,133,1,1,,13,0,1
1532548031265,13,pur,200,,loadTest 2-288,text,true,,3142,133,1,1,,13,0,1
1532548031285,13,pur,200,,loadTest 2-289,text,true,,3142,133,1,1,,13,0,1
1532548031305,13,pur,200,,loadTest 2-290,text,true,,3142,133,1,1,,13,0,1
1532548031325,13,pur,200,,loadTest 2-291,text,true,,3142,133,1,1,,13,0,1
1532548031345,13,pur,200,,loadTest 2-292,text,true,,3142,133,1,1,,13,0,1
1532548031366,12,pur,200,,loadTest 2-293,text,true,,3142,133,1,1,,12,0,0
1532548031385,12,pur,200,,loadTest 2-294,text,true,,3142,133,1,1,,12,0,0
1532548031405,12,pur,200,,loadTest 2-295,text,true,,3142,133,1,1,,12,0,0
1532548031425,12,pur,200,,loadTest 2-296,text,true,,3142,133,1,1,,12,0,0
1532548031445,12,pur,200,,loadTest 2-297,text,true,,3142,133,1,1,,12,0,0
1532548031465,12,pur,200,,loadTest 2-298,text,true,,3142,133,1,1,,12,0,0
1532548031485,12,pur,200,,loadTest 2-299,text,true,,3142,133,1,1,,12,0,0
1532548031505,13,pur,200,,loadTest 2-300,text,true,,3142,133,1,1,,13,0,0
1532548031804,446,pur,200,,loadTest 2-315,text,true,,3142,133,35,35,,446,0,1
1532548032105,145,pur,200,,loadTest 2-330,text,true,,3142,133,35,35,,145,0,0
1532548031925,325,pur,200,,loadTest 2-321,text,true,,3142,133,33,33,,325,0,1
1532548031864,386,pur,200,,loadTest 2-318,text,true,,3142,133,33,33,,386,0,1
1532548031584,666,pur,200,,loadTest 2-304,text,true,,3142,133,31,31,,666,0,1
1532548031684,566,pur,200,,loadTest 2-309,text,true,,3142,133,31,31,,566,0,1
1532548031784,466,pur,200,,loadTest 2-314,text,true,,3142,133,31,31,,466,0,1
1532548032124,126,pur,200,,loadTest 2-331,text,true,,3142,133,29,29,,126,0,1
1532548031884,366,pur,200,,loadTest 2-319,text,true,,3142,133,29,29,,366,0,1
1532548032065,185,pur,200,,loadTest 2-328,text,true,,3142,133,29,29,,185,0,1
